region_cd,region_nm,research_date,buy_dom_indices,level_no
11A13,서북권,20230605,78.373382624769,2
11000,서울,20230605,83.9473684210526,0
41A01,서해안권,20230605,89.6990250105977,1
36000,세종,20230605,98.3231707317073,0
A2000,수도권,20230605,84.7820561697801,0
31000,울산,20230605,76.4672036823935,0
28000,인천,20230605,85.6382978723404,0
A1000,전국,20230605,85.4604863221884,0
46000,전남,20230605,87.020316027088,0
45000,전북,20230605,80.8310991957105,0
50000,제주,20230605,77.7777777777778,0
26A02,중부산권,20230605,87.1359223300971,1
A2001,지방권,20230605,86.0826244027503,0
44000,충남,20230605,95.4612005856515,0
43000,충북,20230605,89.5085066162571,0
A5000,5대광역시,20230529,81.3279978296256,0
A3000,6대광역시,20230529,81.9708966402739,0
A6000,8개도,20230529,88.3375607693934,0
A9000,9개도,20230529,86.5088045499289,0
11A02,강남지역,20230529,81.4814814814815,1
11A01,강북지역,20230529,84.7056401811445,1
42000,강원,20230529,84.4900105152471,0
41000,경기,20230529,84.5478241160472,0
48000,경남,20230529,89.3887214808437,0
41A02,경부1권,20230529,87.1588523442967,1
41A03,경부2권,20230529,90.6911928651059,1
47000,경북,20230529,91.6559278350515,0
41A05,경원권,20230529,81.1224489795918,1
41A04,경의권,20230529,70.3579418344519,1
29000,광주,20230529,87.9916317991632,0
27000,대구,20230529,80.2156177156177,0
30000,대전,20230529,76.9486692015209,0
11A11,도심권,20230529,84.0390879478827,2
11A15,동남권,20230529,85.5178735105408,2
41A06,동부1권,20230529,82.7885597548519,1
41A07,동부2권,20230529,76.4830508474576,1
26A01,동부산권,20230529,81.3537675606641,1
11A12,동북권,20230529,87.2549019607843,2
26000,부산,20230529,82.4212598425197,0
11A14,서남권,20230529,78.3802816901408,2
26A03,서부산권,20230529,77.9917469050894,1
11A13,서북권,20230529,77.634011090573,2
11000,서울,20230529,83.0668016194332,0
41A01,서해안권,20230529,88.8935989826198,1
36000,세종,20230529,98.0182926829268,0
A2000,수도권,20230529,84.0608717753209,0
31000,울산,20230529,76.4672036823935,0
28000,인천,20230529,84.3718338399189,0
A1000,전국,20230529,84.8176291793313,0
46000,전남,20230529,86.2866817155756,0
45000,전북,20230529,80.1161751563896,0
50000,제주,20230529,78.2608695652174,0
26A02,중부산권,20230529,86.3592233009709,1
