region_cd,region_nm,research_date,apt_type,price_gbn,rate,level_no
36000,세종,202305,3,AD,14.788967540237083,0
11A12,동북권,202305,0,AD,24.77442134493389,2
11305,강북구,202305,1,AD,18.69739453135803,3
30170,서구,202305,1,AD,18.663351754626152,1
27200,남구,202305,1,AD,14.453827032288075,1
47170,안동시,202305,1,AD,12.006228827990192,1
46000,전남,202305,0,AD,18.51378503489277,0
48270,밀양시,202306,1,M,72.11172959794472,1
43000,충북,202306,3,AD,12.074067995187729,0
43130,충주시,202306,1,AD,10.164128698302639,1
A2001,지방권,202306,7,AD,20.7926964418733,0
A9000,9개도,202306,3,AD,16.891771139835846,0
26A03,서부산권,202306,1,AD,18.49137351577551,1
41650,포천시,202306,1,AD,19.555828507546426,2
31710,울주군,202306,1,AD,13.853430016346714,1
48000,경남,202306,3,AD,23.301503343995368,0
41A05,경원권,202306,0,AD,16.78232690971525,1
46170,나주시,202306,1,AD,13.582724435204216,1
45210,김제시,202306,1,AD,14.807597884281574,1
45110,전주시,202306,1,AD,27.133995744697152,1
31000,울산,202306,7,AD,26.84135859813777,0
11560,영등포구,202306,1,AD,37.83123525200044,3
A5000,5대광역시,202306,1,AD,18.04329034763633,0
11140,중구,202306,1,AD,19.795647049910194,3
A1000,전국,202306,3,AD,19.0316994061128,0
A5000,5대광역시,202302,0,AD,18.370602851035915,0
41000,경기,202302,0,AD,19.77273736628306,0
11A01,강북지역,202302,7,AD,29.906561747825673,1
45190,남원시,202302,1,AD,23.178025062624272,1
11A12,동북권,202302,3,AD,21.831330750663057,2
27170,서구,202302,1,AD,8.24975795706941,1
48123,성산구,202302,1,AD,28.209999597466616,2
41A07,동부2권,202302,1,AD,12.91426563348005,1
41173,동안구,202302,1,AD,30.350500050171664,3
11A15,동남권,202302,1,AD,43.081559558656515,2
41A05,경원권,202302,1,MD,13.71736057720917,1
11410,서대문구,202302,1,MD,24.509803921568626,3
26A02,중부산권,202302,0,MD,19.540983923825824,1
41463,기흥구,202302,1,MD,15.57632398753894,3
44133,서북구,202302,1,MD,9.942011795327996,2
47250,상주시,202302,1,MD,8.873177337574404,1
26000,부산,202302,7,MD,28.57029318965881,0
11000,서울,202302,0,MD,28.600787895749498,0
29000,광주,202302,3,MD,11.428571428571429,0
48129,진해구,202302,1,MD,14.084507042253522,2
11470,양천구,202305,1,AD,46.140315951843824,3
A9000,9개도,202305,1,AD,17.648166079868723,0
30000,대전,202305,3,AD,15.973096772455223,0
29000,광주,202305,7,AD,30.908461411384273,0
31140,남구,202305,1,AD,15.86400727125402,1
42000,강원,202305,1,AD,11.715123902449179,0
41110,수원시,202305,1,AD,17.336717453933826,2
A2000,수도권,202305,3,AD,20.019857142018807,0
41A07,동부2권,202305,0,AD,17.28792523494473,1
41370,오산시,202305,1,AD,9.954659149364671,2
41390,시흥시,202305,1,AD,15.216679552869977,2
A1000,전국,202305,1,AD,20.24552749844308,0
A2001,지방권,202305,0,AD,17.631702844823252,0
26500,수영구,202305,1,AD,16.8921288460503,2
41A02,경부1권,202305,7,AD,30.34666496557234,1
41273,단원구,202305,1,AD,16.935024864253855,3
26000,부산,202305,1,AD,20.815175845983163,0
41171,만안구,202305,1,AD,25.438302005827012,3
41A06,동부1권,202305,0,AD,24.483682339771832,1
11A13,서북권,202305,7,AD,29.933885750051388,2
11A11,도심권,202305,0,AD,29.379759319378262,2
11A01,강북지역,202305,7,AD,29.99317415385988,1
47170,안동시,202306,1,AD,12.079308898174105,1
26470,연제구,202306,1,AD,27.724386886066366,2
26110,중구,202306,1,AD,29.55997069194632,2
26A02,중부산권,202306,7,AD,29.729624026660762,1
41461,처인구,202306,1,AD,22.584367353772784,3
26A02,중부산권,202306,3,AD,23.408613481244153,1
41A04,경의권,202306,3,AD,18.02499258828986,1
A6000,8개도,202306,1,AD,15.48467489089683,0
41463,기흥구,202306,1,AD,19.09027910602268,3
31000,울산,202306,1,AD,15.650840516238349,0
27000,대구,202306,1,AD,12.462595908130597,0
41110,수원시,202306,1,AD,17.362760931625047,2
41A04,경의권,202306,0,AD,18.177950746986895,1
27140,동구,202306,1,AD,12.953699837282883,1
41270,안산시,202306,1,AD,15.937956944487652,2
A6000,8개도,202306,0,AD,16.922147730095187,0
11215,광진구,202306,1,AD,27.516608517095243,3
A2000,수도권,202306,1,AD,24.083089054035796,0
30140,중구,202306,1,AD,18.736841355836553,1
26500,수영구,202306,1,AD,16.994227824457752,2
29155,남구,202306,1,AD,21.790659429979158,1
26710,기장군,202306,1,AD,14.244392604672896,2
44000,충남,202306,3,AD,13.945570644589933,0
29000,광주,202306,3,AD,14.914894225266991,0
30230,대덕구,202306,1,AD,16.544990840177533,1
30110,동구,202306,1,AD,20.12009987928682,1
A3000,6대광역시,202302,1,MD,13.749705327422253,0
47000,경북,202302,1,MD,9.497916082993656,0
43000,충북,202302,1,MD,9.712150547496904,0
A1000,전국,202302,0,MD,17.96749526446921,0
44230,논산시,202302,1,MD,14.337101747173689,1
41630,양주시,202302,1,MD,16.39344262295082,2
31140,남구,202302,1,MD,10.362694300518134,1
11A15,동남권,202302,0,MD,37.93197665141885,2
26350,해운대구,202302,1,MD,10.298672097068431,2
43112,서원구,202302,1,MD,10.59322033898305,2
11260,중랑구,202302,1,MD,25.229540282927292,3
48250,김해시,202302,1,MD,11.82033096926714,1
41110,수원시,202302,1,MD,13.490792885630084,2
46150,순천시,202302,1,MD,17.91044776119403,1
26A02,중부산권,202302,3,MD,21.052631578947366,1
A2001,지방권,202302,0,MD,15.481922151945213,0
43000,충북,202302,3,MD,12.5,0
41460,용인시,202302,1,MD,17.192724706910102,2
41500,이천시,202302,1,MD,10.309278350515463,2
11200,성동구,202305,1,AD,24.089504079682715,3
36000,세종,202305,1,AD,18.88554373676666,0
46230,광양시,202305,1,AD,13.992762623160473,1
46150,순천시,202305,1,AD,17.3138780289785,1
41430,의왕시,202305,1,AD,17.61064312779339,2
41480,파주시,202305,1,AD,13.837913950500788,2
47111,남구,202305,1,AD,10.72505128198179,2
11A15,동남권,202305,1,AD,43.382614470892314,2
44000,충남,202305,1,AD,12.393554874325437,0
41A05,경원권,202305,1,MD,14.499353037954757,1
26470,연제구,202305,1,MD,21.141743545734105,2
11200,성동구,202305,1,MD,12.945032626509418,3
41A03,경부2권,202305,7,MD,22.852903772785076,1
42210,속초시,202305,1,MD,8.88888888888889,1
48220,통영시,202305,1,MD,15.564437984496124,1
44131,동남구,202305,1,MD,10.345319634703195,2
26140,서구,202305,1,MD,39.21568627450981,2
A2000,수도권,202305,1,MD,20.979586894475723,0
41410,군포시,202305,1,MD,19.42746074879227,2
26530,사상구,202305,1,MD,15.384615384615385,2
26A01,동부산권,202305,1,MD,16.806344003920294,1
41A01,서해안권,202305,0,MD,15.010246356679025,1
27110,중구,202305,1,MD,8.38578109067895,1
11A01,강북지역,202305,1,MD,21.89152777096348,1
11000,서울,202305,1,MD,32.307979444203816,0
46000,전남,202305,7,MD,21.367521367521366,0
41285,일산동구,202306,1,AD,16.31080740600103,3
36000,세종,202306,0,AD,18.644834498023123,0
47000,경북,202306,0,AD,12.887611401553642,0
46230,광양시,202306,1,AD,14.169520782569695,1
48123,성산구,202306,1,AD,28.63463936236361,2
41220,평택시,202306,1,AD,9.267103281633936,2
48250,김해시,202306,1,AD,13.009711222302064,1
11A15,동남권,202306,1,AD,42.95764573785993,2
41A05,경원권,202306,1,MD,14.859857368827567,1
28110,중구,202306,1,MD,11.766334440753045,1
11305,강북구,202306,1,MD,15.384615384615385,3
11140,중구,202306,1,MD,11.389521640091116,3
44133,서북구,202306,1,MD,10.319928431456079,2
42000,강원,202306,1,MD,10.491941659273754,0
45000,전북,202306,7,MD,19.607843137254903,0
11000,서울,202306,0,MD,28.71789523757233,0
41A06,동부1권,202306,0,MD,22.22699077990318,1
41190,부천시,202306,1,MD,16.55629139072848,2
26A01,동부산권,202306,1,MD,16.86046059980789,1
11A13,서북권,202306,7,MD,29.153005464480874,2
41A01,서해안권,202306,0,MD,14.925675077336825,1
48240,사천시,202306,1,MD,14.866218764733615,1
41117,영통구,202306,1,MD,11.695922432095253,3
11A11,도심권,202306,0,MD,24.832269699475614,2
48330,양산시,202306,1,MD,17.52849725013058,1
41281,덕양구,202302,1,MD,19.569546568627448,3
47170,안동시,202302,1,MD,9.523809523809524,1
26A03,서부산권,202302,0,MD,17.642114069225993,1
41450,하남시,202302,1,MD,39.96007984031936,2
A9000,9개도,202302,3,MD,16.27838918740111,0
41A07,동부2권,202302,1,MD,11.42926756510409,1
41A01,서해안권,202302,1,MD,12.68146465630173,1
A2000,수도권,202305,1,A,59.39657553154739,0
41A07,동부2권,202305,0,A,67.51117715394356,1
50000,제주,202305,0,A,59.331296604432296,0
43110,청주시,202305,1,A,79.32316248820264,1
41250,동두천시,202305,1,A,69.59173201558212,2
A5000,5대광역시,202305,3,A,63.88392712285683,0
A6000,8개도,202305,3,A,67.21665760623969,0
41A01,서해안권,202305,3,A,66.810935625393,1
46000,전남,202305,0,A,63.60549269119864,0
31710,울주군,202305,1,A,74.16639820910693,1
44210,서산시,202305,1,A,81.38528337254029,1
41111,장안구,202305,1,A,63.38072837918053,3
46230,광양시,202305,1,MD,11.834319526627219,1
11560,영등포구,202305,1,MD,35.714285714285715,3
28260,서구,202305,1,MD,11.350752422180992,1
46840,무안군,202305,1,MD,9.66183574879227,1
11320,도봉구,202305,1,MD,15.228426395939088,3
45110,전주시,202305,1,MD,23.918089649200063,1
43770,음성군,202305,1,MD,11.037527593818984,1
41A03,경부2권,202305,1,MD,15.421199591389136,1
27170,서구,202305,1,MD,7.61929641239986,1
11A11,도심권,202305,1,MD,22.826614422098604,2
A5000,5대광역시,202305,1,MD,14.678705962372748,0
29140,서구,202305,1,MD,15.527950310559005,1
28237,부평구,202305,1,MD,13.392857142857142,1
11260,중랑구,202305,1,MD,26.59649718473248,3
41590,화성시,202305,1,MD,16.5016501650165,2
47130,경주시,202305,1,MD,9.216785592932382,1
46150,순천시,202305,1,MD,18.181818181818183,1
30140,중구,202305,1,MD,15.384615384615385,1
47110,포항시,202305,1,MD,9.662069780669782,1
A2001,지방권,202305,3,MD,15.978919012617506,0
31000,울산,202305,1,MD,12.11737395049521,0
45111,완산구,202305,1,MD,20.408163265306122,2
11230,동대문구,202305,1,MD,19.97537633734418,3
26200,영도구,202306,1,MD,19.854172824908858,2
36000,세종,202306,3,MD,9.045102184637068,0
48121,의창구,202306,1,MD,28.735632183908045,2
41A07,동부2권,202306,3,MD,14.893617021276595,1
41A03,경부2권,202306,3,MD,15.151515151515152,1
31140,남구,202306,1,MD,10.700912640703548,1
28000,인천,202306,7,MD,21.445993031358885,0
41111,장안구,202306,1,MD,18.265221017514595,3
41280,고양시,202306,1,MD,16.672233126676385,2
27000,대구,202306,7,MD,15.09433962264151,0
36000,세종,202306,7,MD,16.224473220570534,0
26A02,중부산권,202306,1,MD,18.729092283124803,1
41310,구리시,202306,1,MD,27.323220258002866,2
43000,충북,202306,3,MD,12.562814070351758,0
27710,달성군,202306,1,MD,11.627906976744185,1
31710,울주군,202306,1,MD,12.290047126112698,1
41500,이천시,202306,1,MD,10.92896174863388,2
11A12,동북권,202305,3,MD,22.857142857142858,2
11A13,서북권,202305,1,MD,32.78758162914298,2
11440,마포구,202305,1,MD,31.695721077654515,3
36000,세종,202305,1,MD,11.494252873563218,0
30110,동구,202305,1,MD,17.36111111111111,1
41461,처인구,202305,1,MD,16.129032258064516,3
41A02,경부1권,202305,7,MD,24.053166069295102,1
11290,성북구,202305,1,MD,25.583275583275583,3
31000,울산,202305,3,MD,16.94915254237288,0
41A04,경의권,202305,7,MD,22.76422764227642,1
41A07,동부2권,202305,7,MD,22.637117828554167,1
43110,청주시,202305,1,MD,10.010707714383914,1
41281,덕양구,202306,1,MD,20.366683258669322,3
47170,안동시,202306,1,MD,9.389671361502346,1
29170,북구,202306,1,MD,15.810523684539431,1
27140,동구,202306,1,MD,10.989010989010989,1
44270,당진시,202306,1,MD,12.195121951219512,1
11A12,동북권,202306,3,MD,22.88135593220339,2
41000,경기,202306,1,MD,16.478544776270613,0
43000,충북,202306,0,MD,12.045133339109212,0
41A05,경원권,202301,3,A,69.8111400554387,1
27170,서구,202301,1,A,61.359025631466565,1
50110,제주시,202301,1,A,63.08684272948971,1
41A07,동부2권,202301,1,A,84.88433877785842,1
47130,경주시,202301,1,A,76.72051803002334,1
