region_cd,region_nm,research_date,apt_type,age_gbn,tr_gbn,indices,level_no
11A12,동북권,202306,1,13,S,91.11419026834281,2
11A13,서북권,202306,1,13,S,92.15177230253902,2
11A14,서남권,202306,1,13,S,92.51637623241751,2
11A15,동남권,202306,1,13,S,99.39888174253585,2
26000,부산,202306,1,13,S,90.61679708247242,0
26A01,동부산권,202306,1,13,S,90.00388017489065,1
26A02,중부산권,202306,1,13,S,88.7727952192785,1
26A03,서부산권,202306,1,13,S,94.85523755761459,1
27000,대구,202306,1,13,S,79.76146235541427,0
28000,인천,202306,1,13,S,86.44767451285594,0
29000,광주,202306,1,13,S,96.75464156061183,0
30000,대전,202306,1,13,S,89.35413036513772,0
31000,울산,202306,1,13,S,91.63699300697618,0
36000,세종,202306,1,13,S,78.59803299871156,0
41000,경기,202306,1,13,S,91.26421880533987,0
41A01,서해안권,202306,1,13,S,91.10467646174148,1
41A02,경부1권,202306,1,13,S,91.34952587745776,1
41A03,경부2권,202306,1,13,S,91.83881001478103,1
41A04,경의권,202306,1,13,S,93.34319604332295,1
41A05,경원권,202306,1,13,S,85.40509126511655,1
41A06,동부1권,202306,1,13,S,90.47859315350117,1
41A07,동부2권,202306,1,13,S,105.22344381752505,1
42000,강원,202306,1,13,S,101.7101252732221,0
43000,충북,202306,1,13,S,99.04252078202587,0
44000,충남,202306,1,13,S,97.34266605201624,0
45000,전북,202306,1,13,S,100.44725527644687,0
46000,전남,202306,1,13,S,93.80331459242223,0
47000,경북,202306,1,13,S,97.6511862458655,0
48000,경남,202306,1,13,S,96.5768007523762,0
50000,제주,202306,1,13,S,109.14467640585522,0
A1000,전국,202306,1,13,S,92.4651147674415,0
A2000,수도권,202306,1,13,S,91.57102944564484,0
A2001,지방권,202306,1,13,S,93.32116386482129,0
A3000,6대광역시,202306,1,13,S,88.10992760099467,0
A5000,5대광역시,202306,1,13,S,88.39625976423947,0
A6000,8개도,202306,1,13,S,98.0405334105516,0
A9000,9개도,202306,1,13,S,94.52753910656416,0
11000,서울,202306,1,14,D,85.41823364111447,0
11A01,강북지역,202306,1,14,D,84.83377230685502,1
11A02,강남지역,202306,1,14,D,86.05233727460686,1
11A11,도심권,202306,1,14,D,84.49615259725319,2
11A12,동북권,202306,1,14,D,84.57793853215071,2
11A13,서북권,202306,1,14,D,85.63837267135477,2
11A14,서남권,202306,1,14,D,82.99876994461509,2
11A15,동남권,202306,1,14,D,91.25867712003102,2
26000,부산,202306,1,14,D,85.87338897758015,0
26A01,동부산권,202306,1,14,D,84.82846429964195,1
26A02,중부산권,202306,1,14,D,85.02839784899052,1
26A03,서부산권,202306,1,14,D,89.43051827474724,1
27000,대구,202306,1,14,D,79.75866924446636,0
28000,인천,202306,1,14,D,81.01355713886143,0
29000,광주,202306,1,14,D,95.92050272758165,0
30000,대전,202306,1,14,D,86.86165952791083,0
31000,울산,202306,1,14,D,91.72649221588468,0
36000,세종,202306,1,14,D,81.6836009004648,0
41000,경기,202306,1,14,D,81.95894311292528,0
41A01,서해안권,202306,1,14,D,82.54687287626854,1
41A02,경부1권,202306,1,14,D,84.70764275366624,1
41A03,경부2권,202306,1,14,D,80.53661123474782,1
41A04,경의권,202306,1,14,D,82.86409122777684,1
41A05,경원권,202306,1,14,D,77.18406770608361,1
41A06,동부1권,202306,1,14,D,81.51560540641324,1
41A07,동부2권,202306,1,14,D,103.44726727990773,1
42000,강원,202306,1,14,D,101.05472309518056,0
43000,충북,202306,1,14,D,100.34772795472081,0
44000,충남,202306,1,14,D,97.02182628392758,0
45000,전북,202306,1,14,D,99.370401417653,0
46000,전남,202306,1,14,D,96.34116272115838,0
47000,경북,202306,1,14,D,100.20176648404973,0
48000,경남,202306,1,14,D,96.61871128874405,0
50000,제주,202306,1,14,D,104.84907288904759,0
A1000,전국,202306,1,14,D,87.27358334614195,0
A2000,수도권,202306,1,14,D,83.15069990738708,0
A2001,지방권,202306,1,14,D,92.67175772959756,0
A3000,6대광역시,202306,1,14,D,85.67926623947906,0
A5000,5대광역시,202306,1,14,D,86.54855733909726,0
A6000,8개도,202306,1,14,D,98.43292321750133,0
A9000,9개도,202306,1,14,D,88.721870385723,0
11000,서울,202306,1,14,R,100.55077902449472,0
11A01,강북지역,202306,1,14,R,101.56835800740262,1
11A02,강남지역,202306,1,14,R,99.68511826144834,1
11A11,도심권,202306,1,14,R,100.52507547421015,2
11A12,동북권,202306,1,14,R,101.72014897608038,2
11A13,서북권,202306,1,14,R,101.60271197634724,2
11A14,서남권,202306,1,14,R,99.46063759166991,2
11A15,동남권,202306,1,14,R,100.25726221414426,2
26000,부산,202306,1,14,R,101.63859847091449,0
26A01,동부산권,202306,1,14,R,101.59617214422309,1
26A02,중부산권,202306,1,14,R,101.80248724853227,1
26A03,서부산권,202306,1,14,R,101.73722669873143,1
27000,대구,202306,1,14,R,94.22152969373758,0
28000,인천,202306,1,14,R,100.7644610513065,0
29000,광주,202306,1,14,R,100.8191255092082,0
30000,대전,202306,1,14,R,103.77826973062928,0
31000,울산,202306,1,14,R,109.07162342575886,0
36000,세종,202306,1,14,R,95.26966781892774,0
41000,경기,202306,1,14,R,100.45059943404638,0
41A01,서해안권,202306,1,14,R,102.2792068525836,1
41A02,경부1권,202306,1,14,R,102.62829157100822,1
41A03,경부2권,202306,1,14,R,99.46662466033658,1
41A04,경의권,202306,1,14,R,98.8789884679586,1
41A05,경원권,202306,1,14,R,97.19689374658316,1
41A06,동부1권,202306,1,14,R,100.97725789080377,1
41A07,동부2권,202306,1,14,R,106.65981967656224,1
42000,강원,202306,1,14,R,103.29756304513103,0
43000,충북,202306,1,14,R,108.82317623979314,0
44000,충남,202306,1,14,R,103.03828709726699,0
45000,전북,202306,1,14,R,103.47615441677404,0
46000,전남,202306,1,14,R,100.44062754980945,0
47000,경북,202306,1,14,R,104.33305943870775,0
48000,경남,202306,1,14,R,104.38642465918917,0
50000,제주,202306,1,14,R,110.00699248411877,0
A1000,전국,202306,1,14,R,101.42151333263298,0
A2000,수도권,202306,1,14,R,100.487201997017,0
A2001,지방권,202306,1,14,R,102.53030922667953,0
A3000,6대광역시,202306,1,14,R,100.70628534643058,0
A5000,5대광역시,202306,1,14,R,100.70622978833202,0
A6000,8개도,202306,1,14,R,104.20999555610386,0
A9000,9개도,202306,1,14,R,102.10541699619087,0
11000,서울,202306,1,14,S,93.31292548237046,0
11A01,강북지역,202306,1,14,S,91.30057563822479,1
11A02,강남지역,202306,1,14,S,95.19536364018677,1
11A11,도심권,202306,1,14,S,94.37522697129464,2
11A12,동북권,202306,1,14,S,90.77447617828363,2
11A13,서북권,202306,1,14,S,91.62473957104378,2
11A14,서남권,202306,1,14,S,92.2542531049915,2
11A15,동남권,202306,1,14,S,100.43015516619784,2
26000,부산,202306,1,14,S,91.62841746949462,0
26A01,동부산권,202306,1,14,S,91.52919785058715,1
26A02,중부산권,202306,1,14,S,90.5049122525891,1
26A03,서부산권,202306,1,14,S,94.68957710816326,1
27000,대구,202306,1,14,S,83.43328615389518,0
28000,인천,202306,1,14,S,88.98462613381162,0
29000,광주,202306,1,14,S,98.36374112771402,0
30000,대전,202306,1,14,S,90.29988852265977,0
31000,울산,202306,1,14,S,91.64389745565516,0
36000,세종,202306,1,14,S,84.58285375814609,0
41000,경기,202306,1,14,S,91.63278451068422,0
41A01,서해안권,202306,1,14,S,91.83983697201172,1
41A02,경부1권,202306,1,14,S,90.8050484750753,1
41A03,경부2권,202306,1,14,S,92.26181032724773,1
41A04,경의권,202306,1,14,S,92.75127781839059,1
41A05,경원권,202306,1,14,S,85.53198612787942,1
41A06,동부1권,202306,1,14,S,92.22143356378753,1
41A07,동부2권,202306,1,14,S,105.82883884221638,1
42000,강원,202306,1,14,S,102.74877198032097,0
43000,충북,202306,1,14,S,102.10020102715244,0
44000,충남,202306,1,14,S,100.039073557415,0
45000,전북,202306,1,14,S,102.41831603458095,0
46000,전남,202306,1,14,S,92.98281868996929,0
47000,경북,202306,1,14,S,100.8819228966926,0
48000,경남,202306,1,14,S,96.03652133709129,0
50000,제주,202306,1,14,S,104.63615556677033,0
A1000,전국,202306,1,14,S,93.33350435187457,0
A2000,수도권,202306,1,14,S,92.05662714938717,0
A2001,지방권,202306,1,14,S,94.9535038498132,0
A3000,6대광역시,202306,1,14,S,90.26708047921188,0
A5000,5대광역시,202306,1,14,S,90.47255445291745,0
A6000,8개도,202306,1,14,S,99.10184718298714,0
A9000,9개도,202306,1,14,S,94.8159767861124,0
11000,서울,202306,1,15,D,81.77864531788016,0
11A01,강북지역,202306,1,15,D,82.83242359075331,1
11A02,강남지역,202306,1,15,D,80.81457502263892,1
11A11,도심권,202306,1,15,D,82.78691143775158,2
11A12,동북권,202306,1,15,D,82.64663326172943,2
11A13,서북권,202306,1,15,D,83.79323234835088,2
11A14,서남권,202306,1,15,D,81.38210105398646,2
11A15,동남권,202306,1,15,D,80.16792233253081,2
26000,부산,202306,1,15,D,90.97454900881434,0
26A01,동부산권,202306,1,15,D,86.79583704487993,1
26A02,중부산권,202306,1,15,D,90.2646703508885,1
26A03,서부산권,202306,1,15,D,95.984970264862,1
27000,대구,202306,1,15,D,80.07547837526742,0
28000,인천,202306,1,15,D,86.41486551172075,0
29000,광주,202306,1,15,D,95.58327005348015,0
30000,대전,202306,1,15,D,88.55150474581613,0
31000,울산,202306,1,15,D,95.51886353042228,0
36000,세종,202306,1,15,D,89.2950019402989,0
41000,경기,202306,1,15,D,84.89143619056851,0
41A01,서해안권,202306,1,15,D,88.49397135164216,1
41A02,경부1권,202306,1,15,D,84.02916777440592,1
41A03,경부2권,202306,1,15,D,82.7008072288753,1
41A04,경의권,202306,1,15,D,80.82852331883709,1
41A05,경원권,202306,1,15,D,82.79255968969932,1
41A06,동부1권,202306,1,15,D,84.11433797296216,1
41A07,동부2권,202306,1,15,D,107.18110067927984,1
42000,강원,202306,1,15,D,102.07337749845478,0
43000,충북,202306,1,15,D,104.89997748616011,0
44000,충남,202306,1,15,D,102.35814153159812,0
45000,전북,202306,1,15,D,102.06674246525759,0
46000,전남,202306,1,15,D,96.82023560686211,0
