region_cd,region_nm,research_date,apt_type,buy_dom_indices,level_no
11A14,서남권,202305,3,76.90631808278867,2
11A15,동남권,202305,3,83.79790940766551,2
26000,부산,202305,3,84.3157894736842,0
26A01,동부산권,202305,3,76.35135135135135,1
26A02,중부산권,202305,3,90.82125603864735,1
26A03,서부산권,202305,3,82.91666666666667,1
27000,대구,202305,3,77.32919254658385,0
28000,인천,202305,3,81.36645962732919,0
29000,광주,202305,3,85.79545454545455,0
30000,대전,202305,3,81.31868131868131,0
31000,울산,202305,3,77.84090909090908,0
36000,세종,202305,3,98.75,0
41000,경기,202305,3,81.46483342147013,0
41A01,서해안권,202305,3,84.39560439560438,1
41A02,경부1권,202305,3,81.57894736842107,1
41A03,경부2권,202305,3,84.60207612456747,1
41A04,경의권,202305,3,68.87966804979253,1
41A05,경원권,202305,3,85.8173076923077,1
41A06,동부1권,202305,3,82.32142857142857,1
41A07,동부2권,202305,3,78.94736842105262,1
42000,강원,202305,3,89.13043478260869,0
43000,충북,202305,3,91.1764705882353,0
44000,충남,202305,3,88.19875776397515,0
45000,전북,202305,3,81.57894736842105,0
46000,전남,202305,3,88.62275449101797,0
47000,경북,202305,3,95.32967032967032,0
48000,경남,202305,3,94.41964285714286,0
50000,제주,202305,3,79.24528301886792,0
A1000,전국,202305,3,83.09413580246914,0
A2000,수도권,202305,3,81.30978660779984,0
A2001,지방권,202305,3,86.12151477320018,0
A3000,6대광역시,202305,3,81.73076923076924,0
A5000,5대광역시,202305,3,81.83918669131239,0
A6000,8개도,202305,3,89.04109589041096,0
A9000,9개도,202305,3,84.46679438058749,0
11000,서울,202305,7,92.67441860465117,0
11A01,강북지역,202305,7,92.74509803921569,1
11A02,강남지역,202305,7,92.57142857142857,1
11A11,도심권,202305,7,90.83333333333333,2
11A12,동북권,202305,7,94,2
11A13,서북권,202305,7,92.14285714285714,2
11A14,서남권,202305,7,89.52380952380952,2
11A15,동남권,202305,7,97.14285714285714,2
26000,부산,202305,7,93.6,0
26A01,동부산권,202305,7,91.33333333333333,1
26A02,중부산권,202305,7,92.85714285714286,1
26A03,서부산권,202305,7,97.14285714285714,1
27000,대구,202305,7,93.61702127659575,0
28000,인천,202305,7,98.6842105263158,0
29000,광주,202305,7,96.38888888888889,0
30000,대전,202305,7,86,0
31000,울산,202305,7,85.625,0
36000,세종,202305,7,99.28571428571428,0
41000,경기,202305,7,91.31782945736434,0
41A01,서해안권,202305,7,94.16666666666667,1
41A02,경부1권,202305,7,91.25,1
41A03,경부2권,202305,7,91.5,1
41A04,경의권,202305,7,84.70588235294119,1
41A05,경원권,202305,7,95.625,1
41A06,동부1권,202305,7,93.125,1
41A07,동부2권,202305,7,88.5,1
42000,강원,202305,7,99.47368421052633,0
43000,충북,202305,7,95.63636363636364,0
44000,충남,202305,7,95.83333333333333,0
45000,전북,202305,7,87.28813559322035,0
46000,전남,202305,7,96.61971830985915,0
47000,경북,202305,7,97.9746835443038,0
48000,경남,202305,7,96.1038961038961,0
50000,제주,202305,7,95.12820512820512,0
A1000,전국,202305,7,94.1182572614108,0
A2000,수도권,202305,7,92.88537549407116,0
A2001,지방권,202305,7,94.55696202531645,0
A3000,6대광역시,202305,7,92.6470588235294,0
A5000,5대광역시,202305,7,91.5,0
A6000,8개도,202305,7,95.65392354124748,0
A9000,9개도,202305,7,94.76038338658147,0
11000,서울,202304,0,77.81699346405227,0
11A01,강북지역,202304,0,80.11732401397903,1
11A02,강남지역,202304,0,75.288144895719,1
11A11,도심권,202304,0,82.77243589743588,2
11A12,동북권,202304,0,81.16744780570941,2
11A13,서북권,202304,0,76.13526570048309,2
11A14,서남권,202304,0,73.70423204945317,2
11A15,동남권,202304,0,77.44970798182999,2
26000,부산,202304,0,82.05349439171698,0
26A01,동부산권,202304,0,78.9179104477612,1
26A02,중부산권,202304,0,87.24597056762438,1
26A03,서부산권,202304,0,77.91411042944785,1
27000,대구,202304,0,74.5567375886525,0
28000,인천,202304,0,80.88235294117646,0
29000,광주,202304,0,84.58093410108765,0
30000,대전,202304,0,77.06942590120161,0
31000,울산,202304,0,77.9733959311424,0
36000,세종,202304,0,98.81188118811882,0
41000,경기,202304,0,80.68416274655442,0
41A01,서해안권,202304,0,85.02554278416348,1
41A02,경부1권,202304,0,83.02534318901793,1
41A03,경부2권,202304,0,83.80462724935732,1
41A04,경의권,202304,0,69.5115103874228,1
41A05,경원권,202304,0,84.6116504854369,1
41A06,동부1권,202304,0,76.56579873328643,1
41A07,동부2권,202304,0,73.80952380952381,1
42000,강원,202304,0,89.81542518127884,0
43000,충북,202304,0,87.64150943396227,0
44000,충남,202304,0,91.42419601837672,0
45000,전북,202304,0,79.84894259818732,0
46000,전남,202304,0,87.45980707395498,0
47000,경북,202304,0,88.79613356766257,0
48000,경남,202304,0,89.80460132366844,0
50000,제주,202304,0,82.03799654576856,0
A1000,전국,202304,0,82.3583509513742,0
A2000,수도권,202304,0,79.72924751326998,0
A2001,지방권,202304,0,84.72730195731684,0
A3000,6대광역시,202304,0,79.7940899088337,0
A5000,5대광역시,202304,0,79.5075456711676,0
A6000,8개도,202304,0,87.90548098434006,0
A9000,9개도,202304,0,84.59369440974983,0
