region_cd,region_nm,research_date,deal_obj,all_cnt,age01_cnt,age02_cnt,age04_cnt,age05_cnt,age06_cnt,age07_cnt
48250,김해시,202302,06,549,24,143,146,62,34,5
47830,고령군,202302,06,15,1,0,6,7,1,0
47920,봉화군,202302,06,20,0,0,5,7,2,1
48000,경남,202302,06,2938,106,685,739,489,178,33
47840,성주군,202302,06,10,0,0,4,0,2,1
48720,의령군,202302,06,13,0,3,4,3,1,1
48860,산청군,202302,06,16,0,2,4,9,0,0
48840,남해군,202302,06,35,1,4,11,13,1,0
48870,함양군,202302,06,26,0,0,10,6,4,0
51760,평창군,202301,06,48,0,5,14,13,3,4
43750,진천군,202301,06,62,3,11,22,9,3,2
44210,서산시,202301,06,127,7,25,35,24,6,10
44760,부여군,202301,06,31,0,6,8,6,7,0
45720,진안군,202301,06,8,0,0,2,4,1,0
46790,화순군,202301,07,26,0,2,11,4,1,0
46830,영암군,202301,07,34,2,3,8,6,2,0
50000,제주,202301,06,444,26,95,89,62,27,51
11620,관악구,202301,07,22,0,8,6,2,2,0
11470,양천구,202301,07,35,0,10,7,6,0,0
26500,수영구,202301,07,202,2,14,17,12,3,140
27110,중구,202301,07,65,3,26,11,4,4,2
48840,남해군,202301,07,5,0,1,0,1,1,0
44825,태안군,202301,07,23,0,1,7,11,1,0
44790,청양군,202301,07,1,0,0,0,1,0,0
43111,상당구,202301,07,110,6,20,21,23,4,9
51780,철원군,202301,07,7,0,0,2,1,2,0
29170,북구,202301,07,205,13,32,43,30,19,31
29200,광산구,202301,07,423,34,95,75,51,32,0
48123,성산구,202301,07,170,10,57,37,17,5,5
46150,순천시,202301,07,190,10,50,40,26,6,1
45750,임실군,202301,07,5,0,2,0,2,1,0
44250,계룡시,202301,07,30,1,7,3,6,4,2
29110,동구,202301,07,45,1,15,13,4,3,2
44180,보령시,202301,07,34,0,5,5,6,3,0
43750,진천군,202301,07,48,3,9,16,5,1,2
47900,예천군,202301,07,32,1,15,5,3,2,0
46910,신안군,202301,07,0,0,0,0,0,0,0
41250,동두천시,202301,07,32,3,1,12,7,1,1
41430,의왕시,202301,07,41,4,14,10,4,2,0
41800,연천군,202301,07,4,0,0,1,1,1,0
41135,분당구,202301,07,68,6,23,16,4,2,0
11000,서울,202301,07,1161,53,305,193,110,52,152
11650,서초구,202301,07,31,0,5,4,2,2,2
26290,남구,202301,07,90,3,19,22,11,6,0
26440,강서구,202301,07,86,5,38,6,7,4,0
45113,덕진구,202301,07,186,7,51,42,29,10,0
51730,횡성군,202301,07,12,1,2,3,3,3,0
30000,대전,202301,07,517,36,140,100,69,34,12
31200,북구,202301,07,133,10,45,28,10,5,0
48720,의령군,202301,07,2,0,0,2,0,0,0
48740,창녕군,202301,07,10,0,3,3,2,1,0
46110,목포시,202301,07,117,11,19,32,20,12,1
28237,부평구,202301,07,168,6,43,33,25,12,2
27710,달성군,202301,07,109,7,28,24,12,2,1
44200,아산시,202301,07,222,10,55,54,24,10,4
47210,영주시,202301,07,143,2,26,44,13,8,0
41310,구리시,202301,07,31,3,7,11,3,1,0
41465,수지구,202301,07,116,4,44,24,9,4,2
41000,경기,202301,07,4093,246,1094,872,456,215,247
41131,수정구,202301,07,60,3,14,15,7,7,3
11200,성동구,202301,07,31,1,13,2,3,0,7
11545,금천구,202301,07,13,0,5,0,2,0,2
50110,제주시,202301,07,74,6,18,16,9,6,3
47940,울릉군,202301,07,1,0,1,0,0,0,0
51830,양양군,202301,07,9,1,0,3,3,0,0
51750,영월군,202301,07,13,0,3,3,3,0,0
48000,경남,202301,07,1427,71,363,334,203,74,20
45800,부안군,202301,07,10,0,4,4,2,0,0
41170,안양시,202301,06,143,11,45,22,25,9,4
