region_cd,region_nm,research_date,apt_type,rate,level_no
A5000,5대광역시,202302,35,7.087514769594329,0
42000,강원,202302,35,7.952377027168439,0
43000,충북,202302,35,10.096502824404501,0
45000,전북,202302,35,7.563542316953538,0
26000,부산,202302,0,5.99416067175775,0
28000,인천,202302,0,6.485913251910886,0
42000,강원,202302,0,6.908081721509941,0
31000,울산,202305,7,8.269204593592576,0
11A12,동북권,202305,7,6.127659574468085,1
46110,목포시,202305,1,6.545454545454545,1
47190,구미시,202305,1,6,1
50000,제주,202305,1,5.690108869913908,0
11200,성동구,202305,1,5.2799999999999985,1
11215,광진구,202305,1,4.888888888888889,1
11530,구로구,202305,1,4.8,1
26000,부산,202305,1,5.25,0
26230,부산진구,202305,1,5.6000000000000005,1
27000,대구,202305,1,5.3688,0
27170,서구,202305,1,5.6873315363881405,1
28110,중구,202305,1,6.561873053832622,1
29155,남구,202305,1,5.099992499543355,1
30140,중구,202305,1,5.142857142857144,1
31170,동구,202305,1,5.997440065709116,1
41000,경기,202305,1,5.542569593559486,0
41190,부천시,202305,1,5.04,1
41210,광명시,202305,1,4.905790559927513,1
41220,평택시,202305,1,6.857142857142858,1
41281,덕양구,202305,1,5.333333333333334,2
41430,의왕시,202305,1,4.909090909090909,1
41450,하남시,202305,1,5.25,1
41550,안성시,202305,1,6.764321979053678,1
41590,화성시,202305,1,6,1
42210,속초시,202305,1,6.375116715338562,1
45110,전주시,202305,1,5.6000000000000005,1
36000,세종,202305,35,7.115127074271106,0
11A01,강북지역,202305,0,5.561549208094572,1
41000,경기,202305,0,6.4484972326939625,0
44000,충남,202305,0,7.858633694156544,0
50000,제주,202305,0,6.151842597732817,0
A8000,8개시도,202304,35,7.404923470164014,0
11A12,동북권,202304,35,4.877803131638996,1
28000,인천,202304,35,6.887022471829881,0
31000,울산,202304,35,7.376157590881608,0
A2001,지방,202304,1,5.565497682153148,0
11000,서울,202304,1,4.800000000000004,0
11215,광진구,202304,1,4.806032519047995,1
11230,동대문구,202304,1,4.984615384615385,1
11470,양천구,202304,1,4.714871696395077,1
11740,강동구,202304,1,4.444444444444445,1
26230,부산진구,202304,1,5.595442057648166,1
26410,금정구,202304,1,4.77465884182988,1
27140,동구,202304,1,5.273633305403564,1
28185,연수구,202304,1,6.217466319139133,1
28200,남동구,202304,1,5.759715109088749,1
28245,계양구,202304,1,5.5,1
29000,광주,202304,1,5.200000000000002,0
31000,울산,202304,1,5.25,0
31170,동구,202304,1,5.8330427336248745,1
41150,의정부시,202304,1,5.809379727685325,1
41173,동안구,202304,1,4.8000000000000025,2
41197,소사구,202304,1,,2
41281,덕양구,202304,1,5.333333333333334,2
41287,일산서구,202304,1,5.379310344827586,2
41310,구리시,202304,1,4.33323671897644,1
41463,기흥구,202304,1,5.373379748542155,2
41550,안성시,202304,1,6.782608695652175,1
41630,양주시,202304,1,6.022863849953975,1
43110,청주시,202304,1,5.828993265799901,1
43130,충주시,202304,1,6,1
45110,전주시,202304,1,5.5813953488372094,1
48120,창원시,202304,1,4.948979591836735,1
A1000,전국,202304,0,6.053490540836933,0
A8000,8개시도,202304,0,7.121832012274167,0
11A15,동남권,202304,0,4.630551104799685,1
44000,충남,202304,0,7.781806261806222,0
45000,전북,202304,0,7.286225071731039,0
47000,경북,202304,0,7.302152176733787,0
11A14,서남권,202304,7,5.536609829488465,1
29000,광주,202304,7,7.142418877435729,0
46000,전남,202304,7,8.836043490811122,0
50000,제주,202304,7,6.128203034306079,0
47190,구미시,202303,1,6,1
A1000,전국,202303,1,5.333333333333334,0
11A15,동남권,202303,1,4.581745450832954,1
11170,용산구,202303,1,4.9655172413793105,1
11290,성북구,202303,1,4.799999999999999,1
11350,노원구,202303,1,4.75692916114238,1
11410,서대문구,202303,1,5,1
11500,강서구,202303,1,4.800000000000002,1
11545,금천구,202303,1,5.184485387532826,1
27260,수성구,202303,1,4.973063959553993,1
28237,부평구,202303,1,5.333333333333334,1
30230,대덕구,202303,1,5.075341949942427,1
41110,수원시,202303,1,5.274725274725275,1
41197,소사구,202303,1,,2
41250,동두천시,202303,1,6.180257510729613,1
41290,과천시,202303,1,4.3990937284834075,1
41461,처인구,202303,1,6.054092815169021,2
41590,화성시,202303,1,5.80407848069432,1
44150,공주시,202303,1,6.605504587155964,1
45110,전주시,202303,1,5.591376320253425,1
11A02,강남지역,202301,35,4.066703120937881,1
11A12,동북권,202301,35,4.523628090380162,1
11A15,동남권,202301,35,3.90028468785396,1
50000,제주,202301,35,5.772476417071641,0
A1000,전국,202301,0,5.897444931545514,0
42000,강원,202301,0,6.8006148569260825,0
46000,전남,202301,0,5.980889743812769,0
A5000,5대광역시,202301,7,7.322666578420504,0
11A01,강북지역,202301,7,5.828144458281446,1
41000,경기,202301,7,7.542981448430179,0
42000,강원,202301,7,8.23467840437322,0
44000,충남,202301,7,9.305101046936837,0
A1000,전국,202301,1,5.07588031374217,0
11545,금천구,202301,1,4.7833622183708835,1
11680,강남구,202301,1,4.3500000000000005,1
26000,부산,202301,1,5.007743949128279,0
26470,연제구,202301,1,4.815093497117427,1
27290,달서구,202301,1,4.999995,1
28000,인천,202301,1,5.38023813205505,0
29140,서구,202301,1,4.999599517459353,1
30000,대전,202301,1,4.8075818495117755,0
30140,중구,202301,1,4.921544578475639,1
28185,연수구,202301,1,5.894736842105263,1
31110,중구,202301,1,4.2105263157894735,1
31140,남구,202301,1,4.695652173913045,1
41171,만안구,202301,1,4.426734448068986,2
41199,오정구,202301,1,,2
41273,단원구,202301,1,5.217391304347826,2
41280,고양시,202301,1,5.060485441504774,1
41570,김포시,202301,1,5.538461538461538,1
43000,충북,202301,1,5.6439237291357065,0
45110,전주시,202301,1,5.5,1
46000,전남,202301,1,5.333333333333334,0
46110,목포시,202301,1,3.2432432432432434,1
48310,거제시,202301,1,5.026157904170655,1
42000,강원,202303,0,7.075114573559024,0
48000,경남,202303,0,6.715394559327884,0
A2001,지방,202303,35,7.200388369524262,0
11A14,서남권,202303,35,4.674729535528377,1
11A15,동남권,202303,35,4.092269491285694,1
29000,광주,202303,35,6.026919207039126,0
31000,울산,202303,35,7.5512195121951216,0
41000,경기,202303,35,6.640716819524577,0
43000,충북,202303,35,10.270125126482188,0
44000,충남,202303,35,10.566131517471048,0
46000,전남,202303,35,7.604376681085082,0
A5000,5대광역시,202303,7,7.317073170731707,0
26000,부산,202303,7,7.400803538454758,0
44000,충남,202303,7,9.17403655248511,0
47000,경북,202303,7,9.491344873501998,0
41000,경기,202302,7,7.504985945097369,0
48000,경남,202302,7,8.610945267647232,0
A2000,수도권,202302,1,5.08235294117647,0
11A13,서북권,202302,1,4.8,1
11110,종로구,202302,1,4.611834210283393,1
11200,성동구,202302,1,5.030119123736753,1
11305,강북구,202302,1,5.142857142857142,1
11410,서대문구,202302,1,4.910685805422649,1
11590,동작구,202302,1,4.4651162790697665,1
26260,동래구,202302,1,4.759325991382177,1
26320,북구,202302,1,4.8979591836734695,1
26350,해운대구,202302,1,4.957827003330236,1
26710,기장군,202302,1,5.088981674494689,1
27170,서구,202302,1,4.872765024513049,1
