region_cd,region_nm,research_date,apt_type,size_gbn,tr_gbn,indices,level_no
11000,서울,202306,1,12,D,82.31955509957903,0
11A01,강북지역,202306,1,12,D,82.89075674833262,1
11A02,강남지역,202306,1,12,D,81.82930980813695,1
11A11,도심권,202306,1,12,D,83.14460965827055,2
11A12,동북권,202306,1,12,D,82.53135562025311,2
11A13,서북권,202306,1,12,D,83.81454373091032,2
11A14,서남권,202306,1,12,D,82.22271870528881,2
11A15,동남권,202306,1,12,D,81.25877846051172,2
26000,부산,202306,1,12,D,84.94514895214695,0
26A01,동부산권,202306,1,12,D,81.67610004237335,1
26A02,중부산권,202306,1,12,D,83.60396353807796,1
26A03,서부산권,202306,1,12,D,90.30675740125163,1
27000,대구,202306,1,12,D,72.12670155905359,0
28000,인천,202306,1,12,D,76.4730387863015,0
29000,광주,202306,1,12,D,91.53521804373278,0
30000,대전,202306,1,12,D,82.73258455657812,0
31000,울산,202306,1,12,D,86.6425572368577,0
36000,세종,202306,1,12,D,70.38822130208422,0
41000,경기,202306,1,12,D,79.93364105986647,0
41A01,서해안권,202306,1,12,D,79.91859526457729,1
41A02,경부1권,202306,1,12,D,82.99771831142809,1
41A03,경부2권,202306,1,12,D,80.29946106075943,1
41A04,경의권,202306,1,12,D,78.2309900557074,1
41A05,경원권,202306,1,12,D,74.79478756737221,1
41A06,동부1권,202306,1,12,D,78.88252962235761,1
41A07,동부2권,202306,1,12,D,99.70052803066741,1
42000,강원,202306,1,12,D,97.15285647210092,0
43000,충북,202306,1,12,D,96.02963902486877,0
44000,충남,202306,1,12,D,90.65437317463636,0
45000,전북,202306,1,12,D,96.98112142432878,0
46000,전남,202306,1,12,D,92.16875902925476,0
47000,경북,202306,1,12,D,96.40668142531304,0
48000,경남,202306,1,12,D,94.85612963489541,0
50000,제주,202306,1,12,D,101.80904547840336,0
A1000,전국,202306,1,12,D,84.68915625582123,0
A2000,수도권,202306,1,12,D,80.21584948366907,0
A2001,지방권,202306,1,12,D,88.86083250456808,0
A3000,6대광역시,202306,1,12,D,81.48086544965385,0
A5000,5대광역시,202306,1,12,D,82.73247674206088,0
A6000,8개도,202306,1,12,D,95.02473976182728,0
A9000,9개도,202306,1,12,D,87.32830401845521,0
11000,서울,202306,1,12,R,99.94539774502047,0
11A01,강북지역,202306,1,12,R,101.16308592632048,1
11A02,강남지역,202306,1,12,R,98.90094406376569,1
11A11,도심권,202306,1,12,R,100.933350270684,2
11A12,동북권,202306,1,12,R,101.20385228610796,2
11A13,서북권,202306,1,12,R,101.09505689911832,2
11A14,서남권,202306,1,12,R,99.49577489548184,2
11A15,동남권,202306,1,12,R,98.17918101497956,2
26000,부산,202306,1,12,R,102.2491964758494,0
26A01,동부산권,202306,1,12,R,102.0993517360838,1
26A02,중부산권,202306,1,12,R,101.48814944402778,1
26A03,서부산권,202306,1,12,R,103.38941501026673,1
27000,대구,202306,1,12,R,91.99027260824003,0
28000,인천,202306,1,12,R,101.66125925109722,0
29000,광주,202306,1,12,R,99.34379886498192,0
30000,대전,202306,1,12,R,101.11871767342421,0
31000,울산,202306,1,12,R,108.85708847819257,0
36000,세종,202306,1,12,R,92.11992004737594,0
41000,경기,202306,1,12,R,100.36959909007439,0
41A01,서해안권,202306,1,12,R,101.9039454477379,1
41A02,경부1권,202306,1,12,R,100.39272504876817,1
41A03,경부2권,202306,1,12,R,100.91084284549487,1
41A04,경의권,202306,1,12,R,99.01710688646041,1
41A05,경원권,202306,1,12,R,96.1680644499892,1
41A06,동부1권,202306,1,12,R,99.49130328830053,1
41A07,동부2권,202306,1,12,R,104.12441036366974,1
42000,강원,202306,1,12,R,102.67824679416469,0
43000,충북,202306,1,12,R,107.64046194403123,0
44000,충남,202306,1,12,R,102.08771392291654,0
45000,전북,202306,1,12,R,102.85693541693114,0
46000,전남,202306,1,12,R,99.06420225714015,0
47000,경북,202306,1,12,R,105.3992054912857,0
48000,경남,202306,1,12,R,104.88000918743882,0
50000,제주,202306,1,12,R,106.72985544727246,0
A1000,전국,202306,1,12,R,101.23072559344024,0
A2000,수도권,202306,1,12,R,100.39450707283513,0
A2001,지방권,202306,1,12,R,101.97502858134925,0
A3000,6대광역시,202306,1,12,R,100.35626584937256,0
A5000,5대광역시,202306,1,12,R,100.05022093360914,0
A6000,8개도,202306,1,12,R,103.94646277589916,0
A9000,9개도,202306,1,12,R,102.18778100090967,0
11000,서울,202306,1,12,S,92.51070767930099,0
11A01,강북지역,202306,1,12,S,90.3645712205921,1
11A02,강남지역,202306,1,12,S,94.4174477651113,1
11A11,도심권,202306,1,12,S,92.84523050309876,2
11A12,동북권,202306,1,12,S,90.14036349312997,2
11A13,서북권,202306,1,12,S,90.28315291933586,2
11A14,서남권,202306,1,12,S,92.1181757044442,2
11A15,동남권,202306,1,12,S,97.28597826118396,2
26000,부산,202306,1,12,S,90.88972580734207,0
26A01,동부산권,202306,1,12,S,88.03154934340797,1
26A02,중부산권,202306,1,12,S,90.25282457575376,1
26A03,서부산권,202306,1,12,S,94.81682147783484,1
27000,대구,202306,1,12,S,78.82448840682882,0
28000,인천,202306,1,12,S,87.61256431676358,0
29000,광주,202306,1,12,S,95.64185838192626,0
