region_cd,region_nm,research_date,age_gbn,tr_gbn,indices,level_no
41A02,경부1권,20230724,12,D,91.0572749869411,1
41A03,경부2권,20230724,12,D,81.960329490238,1
47000,경북,20230724,12,D,94.7914467645127,0
41A05,경원권,20230724,12,D,82.7989109342165,1
41A04,경의권,20230724,12,D,80.490047350712,1
29000,광주,20230724,12,D,87.8596060512918,0
27000,대구,20230724,12,D,70.955421345491,0
30000,대전,20230724,12,D,79.512618094934,0
11A11,도심권,20230724,12,D,88.1080757407639,2
11A15,동남권,20230724,12,D,85.7983431436024,2
41A06,동부1권,20230724,12,D,83.5212131088156,1
41A07,동부2권,20230724,12,D,99.1744583086247,1
26A01,동부산권,20230724,12,D,82.6958006236909,1
11A12,동북권,20230724,12,D,85.0766104687308,2
26000,부산,20230724,12,D,84.3350532143393,0
11A14,서남권,20230724,12,D,86.4264077298079,2
26A03,서부산권,20230724,12,D,86.4526266653032,1
11A13,서북권,20230724,12,D,84.7462944234171,2
11000,서울,20230724,12,D,85.6024131949531,0
41A01,서해안권,20230724,12,D,85.6472984689864,1
36000,세종,20230724,12,D,71.3412667204239,0
A2000,수도권,20230724,12,D,82.9842113012834,0
31000,울산,20230724,12,D,79.3914370076704,0
28000,인천,20230724,12,D,77.539696019969,0
A1000,전국,20230724,12,D,84.1336865843646,0
46000,전남,20230724,12,D,84.8704516821876,0
45000,전북,20230724,12,D,89.7817815039258,0
50000,제주,20230724,12,D,102.784311199734,0
26A02,중부산권,20230724,12,D,83.8920258881759,1
A2001,지방권,20230724,12,D,85.2945210294182,0
44000,충남,20230724,12,D,89.2003298323359,0
43000,충북,20230724,12,D,92.1800013035303,0
A5000,5대광역시,20230724,12,S,86.8378570024574,0
A3000,6대광역시,20230724,12,S,88.0339200545953,0
A6000,8개도,20230724,12,S,93.6793686172136,0
A9000,9개도,20230724,12,S,92.4945456610224,0
11A02,강남지역,20230724,12,S,96.0490003365887,1
11A01,강북지역,20230724,12,S,91.1611871161756,1
42000,강원,20230724,12,S,97.4132164698617,0
41000,경기,20230724,12,S,91.3946648811739,0
48000,경남,20230724,12,S,93.5715366024725,0
41A02,경부1권,20230724,12,S,93.1981587480667,1
41A03,경부2권,20230724,12,S,92.413375346795,1
47000,경북,20230724,12,S,95.1611145611587,0
41A05,경원권,20230724,12,S,90.6082149590781,1
