region_cd,region_nm,research_date,apt_type,contract_type,indices,level_no
A2000,수도권,202302,1,0,144.8952223015823,0
A2001,지방,202301,1,0,124.72430694992545,0
A1000,전국,202302,1,1,121.17003262123605,0
A1000,전국,202303,1,1,119.90596117645745,0
A1000,전국,202302,1,0,135.24458886703655,0
A2001,지방,202301,1,1,111.49808826437628,0
A2000,수도권,202303,1,0,148.65604489336556,0
A1000,전국,202305,1,0,139.36524228745955,0
A2001,지방,202303,1,1,113.52850993828957,0
A2000,수도권,202304,1,0,151.25057635496898,0
A2001,지방,202302,1,0,124.56915719633004,0
11000,서울,202303,1,0,154.79721421188825,0
A2000,수도권,202301,1,0,144.4731852623061,0
A2001,지방,202303,1,0,124.57122080620505,0
A1000,전국,202304,1,1,120.03466919917174,0
A1000,전국,202301,1,0,134.91334454076096,0
A2000,수도권,202301,1,1,126.05921009799934,0
A2000,수도권,202303,1,1,121.48957371946301,0
11000,서울,202303,1,1,118.15981551886699,0
11000,서울,202304,1,1,120.38322689050717,0
A2001,지방,202305,1,0,125.17251405104541,0
A1000,전국,202304,1,0,139.39587835278505,0
A2001,지방,202304,1,1,113.28403039796689,0
A2000,수도권,202305,1,0,152.74000433132127,0
A2001,지방,202304,1,0,126.86672856969763,0
A2000,수도권,202302,1,1,123.8061275580446,0
11000,서울,202301,1,1,125.3467000431338,0
A1000,전국,202207,1,0,135.83290089180267,0
A2001,지방,202211,1,0,108.98871847072922,0
28000,인천,202207,1,0,139.91224125765902,0
28000,인천,202211,1,0,119.25947991849162,0
31000,울산,202209,1,0,103.08774279796744,0
29000,광주,202207,1,0,140.5457766355381,0
36000,세종,202210,1,0,122.89609198315561,0
36000,세종,202212,1,0,119.48356806789195,0
42000,강원,202210,1,0,114.77015038242567,0
45000,전북,202211,1,0,112.19984221599877,0
27000,대구,202209,1,0,112.85184708703706,0
27000,대구,202210,1,0,110.03202698764586,0
27000,대구,202211,1,0,105.88574423366401,0
48000,경남,202211,1,0,99.00896984079893,0
50000,제주,202209,1,1,125.14077079587884,0
A3000,6대광역시,202207,1,1,122.13442315714828,0
A1000,전국,202208,1,1,125.41085887825672,0
A5000,5대광역시,202207,1,1,120.64475363039698,0
A5000,5대광역시,202209,1,1,118.03701373452976,0
A5000,5대광역시,202212,1,1,108.50260075850996,0
A2000,수도권,202212,1,1,116.26650308085945,0
50000,제주,202208,1,0,111.25723028696058,0
36000,세종,202212,1,1,136.35746600337342,0
11000,서울,202207,1,1,126.80666205290798,0
41000,경기,202211,1,1,119.79408218714806,0
11A11,도심권,202212,1,1,121.88342448341155,1
42000,강원,202207,1,1,117.29284176528556,0
42000,강원,202210,1,1,117.60048133525413,0
43000,충북,202211,1,1,120.32825284645126,0
11A15,동남권,202207,1,1,127.87393992415582,1
11A15,동남권,202211,1,1,122.88547819839242,1
44000,충남,202209,1,1,125.30626687443862,0
11A13,서북권,202207,1,1,127.67241798902465,1
45000,전북,202210,1,1,112.18024331950788,0
11A14,서남권,202209,1,1,127.19153775602496,1
26000,부산,202209,1,1,113.66665362877312,0
26000,부산,202211,1,1,107.7186470924192,0
48000,경남,202207,1,1,133.06296680149222,0
A3000,6대광역시,202208,3,0,122.86162900580229,0
A3000,6대광역시,202211,3,0,115.0830574745385,0
A1000,전국,202208,3,0,124.69948811767443,0
A1000,전국,202211,3,0,119.474098022435,0
28000,인천,202207,0,0,133.68181946268817,0
11000,서울,202212,3,0,133.410153564538,0
A2000,수도권,202209,0,0,142.13368795957751,0
28000,인천,202211,3,0,114.76274747627573,0
A6000,8개도,202212,0,0,103.02734454463062,0
A6000,8개도,202210,3,0,97.93434864814121,0
A2001,지방,202208,3,0,106.49842924677773,0
41000,경기,202209,3,0,122.88580210202369,0
11000,서울,202207,0,0,163.52910105027348,0
11000,서울,202212,0,0,139.26731441332927,0
A3000,6대광역시,202208,0,0,124.36466792415533,0
A3000,6대광역시,202209,0,0,121.92973511473807,0
