region_cd,region_nm,research_date,deal_obj,all_area,age01_area,age02_area,age04_area,age05_area,age06_area,age07_area
46870,영광군,202306,06,2534.2293,0,322.63,661.7228,619.9565,265.59,221.7
31170,동구,202306,06,14924.4021,341.445,3680.1441,2398.6983,1395.475,306.205,3039.51
31200,북구,202306,06,17538.0974,854.3952,6347.6005,3063.884,1635.638,1020.83,84.73
47760,영양군,202306,06,720.59,0,116.93,248.62,155.7,99.08,51.34
47930,울진군,202306,06,3244.3613,70.1815,241.9308,1839.2381,386.319,131.13,42
47850,칠곡군,202306,06,13286.9438,261.4646,1046.8403,4985.581,1822.1171,463.3171,882.531
48270,밀양시,202306,06,9663.892,334.9167,1440.4554,2582.64,2620.9396,332.2408,82.38
41465,수지구,202306,06,44982.3783,898.831,16251.537,6605.104,4268.1273,2190.5101,179.986
41287,일산서구,202306,06,22706.6794,807.3408,5166.8259,5334.4762,4044.29,1104.0982,134.9985
43112,서원구,202306,06,21333.254,1152.8771,3802.3065,6894.4522,3920.5683,1011.6448,974.372
44270,당진시,202306,06,16343.6601,471.2207,2622.2719,4427.4049,3465.2934,914.4483,281.9761
29000,광주,202306,06,130955.5534,5314.5515,34106.8768,28083.0542,16949.8208,6601.272,6067.5757
51130,원주시,202306,06,42419.6442,1233.0031,8764.5937,9952.5852,8403.7442,2735.9721,668.0024
51810,인제군,202306,07,727.2994,0,324.9482,51.52,142.27,84.7512,0
51790,화천군,202306,07,59.88,0,0,0,0,0,0
51800,양구군,202306,07,77.12,0,0,0,77.12,0,0
51820,고성군,202306,07,1345.1764,0,158.44,39.36,167.3354,0,849.721
51830,양양군,202306,07,1022.6756,0,122.9616,295.504,142.9608,129.7888,0
A1000,전국,202306,07,2936540.65525,112772.4565,805725.40065,618578.92505,375647.2502,149010.4181,55413.872
11110,종로구,202306,07,2519.1619,56.71,630.8873,447.0238,231.0929,121.01,127.14
11440,마포구,202306,07,13827.6971,34.29,5146.4675,3457.4956,1047.469,260.6179,0
11320,도봉구,202306,07,6910.3693,112.56,1972.445,1603.713,1002.6847,411.39,0
11170,용산구,202306,07,5753.9882,0,1500.748,1554.895,698.26,102.59,135.3849
11410,서대문구,202306,07,11551.1574,408.0852,4461.4403,1567.0796,1623.6921,541.814,0
11305,강북구,202306,07,6499.5704,179.65,1171.708,724.715,362.5679,134.228,2807.46
11710,송파구,202306,07,23208.327,399.42,6829.5815,4332.6142,2179.0326,1676.723,150.58
11560,영등포구,202306,07,15388.2101,492.542,5457.2197,2882.6866,1199.602,658.842,14.24
26260,동래구,202306,07,15023.1288,447.8164,5362.6463,2163.9086,1700.8747,408.0005,167.34
26140,서구,202306,07,5286.8801,0,1512.865,1455.7702,715.8568,204.05,33.795
11680,강남구,202306,07,25276.9273,172.31,5553.3877,5982.3455,1129.6142,1441.163,0
26170,동구,202306,07,2936.7778,0,660.9745,588.3192,654.6951,172.26,0
41131,수정구,202306,07,7013.1798,84.96,1722.816,2013.0997,713.2801,246.8068,152.54
41173,동안구,202306,07,20171.432,1055.6737,7827.7333,2883.5958,1826.5557,632.7269,119.86
41113,권선구,202306,07,18767.6829,652.4182,7088.4069,4070.5909,2324.3155,398.985,0
41133,중원구,202306,07,4272.2959,333.1216,1380.02,731.98,558.9568,165.77,0
